time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2020-08-01,28.9,14.1,0.0,2020-08-01,2020,8
2020-08-02,29.5,18.1,3.1,2020-08-02,2020,8
2020-08-03,23.2,14.9,0.1,2020-08-03,2020,8
2020-08-04,23.0,12.4,0.0,2020-08-04,2020,8
2020-08-05,27.5,11.6,0.0,2020-08-05,2020,8
2020-08-06,29.8,15.9,0.0,2020-08-06,2020,8
2020-08-07,32.3,18.5,0.0,2020-08-07,2020,8
2020-08-08,35.5,20.8,0.0,2020-08-08,2020,8
2020-08-09,35.2,22.2,0.3,2020-08-09,2020,8
2020-08-10,30.9,21.2,0.1,2020-08-10,2020,8
2020-08-11,31.5,20.0,0.0,2020-08-11,2020,8
2020-08-12,30.6,18.8,0.0,2020-08-12,2020,8
2020-08-13,31.6,19.2,0.1,2020-08-13,2020,8
2020-08-14,28.2,21.2,0.2,2020-08-14,2020,8
2020-08-15,30.0,19.2,0.0,2020-08-15,2020,8
2020-08-16,30.5,19.2,0.0,2020-08-16,2020,8
2020-08-17,30.4,18.8,0.0,2020-08-17,2020,8
2020-08-18,23.9,18.5,3.3,2020-08-18,2020,8
2020-08-19,26.4,16.8,0.7,2020-08-19,2020,8
2020-08-20,31.1,16.5,0.0,2020-08-20,2020,8
2020-08-21,35.5,20.5,0.0,2020-08-21,2020,8
2020-08-22,25.9,19.7,4.6,2020-08-22,2020,8
2020-08-23,23.8,17.0,0.0,2020-08-23,2020,8
2020-08-24,22.4,15.4,0.3,2020-08-24,2020,8
2020-08-25,23.0,13.7,0.2,2020-08-25,2020,8
2020-08-26,19.5,16.4,11.2,2020-08-26,2020,8
2020-08-27,19.1,12.6,1.0,2020-08-27,2020,8
2020-08-28,21.1,12.5,2.5,2020-08-28,2020,8
2020-08-29,22.5,15.2,0.0,2020-08-29,2020,8
2020-08-30,22.6,14.2,9.0,2020-08-30,2020,8
2020-08-31,21.2,13.4,2.3,2020-08-31,2020,8
2021-05-01,12.6,5.9,0.1,2021-05-01,2021,5
2021-05-02,11.6,5.9,10.0,2021-05-02,2021,5
2021-05-03,10.6,4.2,1.6,2021-05-03,2021,5
2021-05-04,14.1,4.6,1.0,2021-05-04,2021,5
2021-05-05,12.4,6.4,2.2,2021-05-05,2021,5
2021-05-06,10.8,4.2,0.4,2021-05-06,2021,5
2021-05-07,8.9,4.2,6.5,2021-05-07,2021,5
2021-05-08,13.5,3.3,0.0,2021-05-08,2021,5
2021-05-09,24.3,9.4,0.0,2021-05-09,2021,5
2021-05-10,28.0,12.6,0.0,2021-05-10,2021,5
2021-05-11,27.1,12.9,2.2,2021-05-11,2021,5
2021-05-12,15.8,11.9,7.4,2021-05-12,2021,5
2021-05-13,13.3,10.6,10.1,2021-05-13,2021,5
2021-05-14,12.3,7.5,3.0,2021-05-14,2021,5
2021-05-15,17.5,5.7,3.4,2021-05-15,2021,5
2021-05-16,16.2,7.4,1.0,2021-05-16,2021,5
2021-05-17,17.5,7.7,1.0,2021-05-17,2021,5
2021-05-18,14.8,7.8,1.5,2021-05-18,2021,5
2021-05-19,16.1,6.9,1.5,2021-05-19,2021,5
2021-05-20,15.9,7.8,0.4,2021-05-20,2021,5
2021-05-21,19.2,9.9,0.5,2021-05-21,2021,5
2021-05-22,16.8,9.1,2.3,2021-05-22,2021,5
2021-05-23,15.6,8.7,5.1,2021-05-23,2021,5
2021-05-24,20.3,7.2,0.0,2021-05-24,2021,5
2021-05-25,15.6,9.8,3.0,2021-05-25,2021,5
2021-05-26,15.2,8.3,4.0,2021-05-26,2021,5
2021-05-27,15.2,8.1,5.0,2021-05-27,2021,5
2021-05-28,15.8,7.9,0.5,2021-05-28,2021,5
2021-05-29,16.7,7.0,0.1,2021-05-29,2021,5
2021-05-30,18.6,6.6,0.0,2021-05-30,2021,5
2021-05-31,20.2,5.7,0.0,2021-05-31,2021,5
2021-06-01,22.8,8.6,0.0,2021-06-01,2021,6
2021-06-02,23.7,10.8,0.3,2021-06-02,2021,6
2021-06-03,25.9,13.3,0.0,2021-06-03,2021,6
