time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2025-05-31,24.3,14.5,1.0,2025-05-31,2025,5
2025-06-01,27.3,16.2,2.4,2025-06-01,2025,6
2025-06-02,21.6,14.0,0.2,2025-06-02,2025,6
2025-06-03,25.9,12.4,0.0,2025-06-03,2025,6
2025-06-04,27.7,15.6,2.8,2025-06-04,2025,6
2025-06-05,22.2,15.8,1.6,2025-06-05,2025,6
2025-06-06,22.0,14.6,1.5,2025-06-06,2025,6
2025-06-07,22.5,14.2,5.4,2025-06-07,2025,6
2025-06-08,19.7,11.7,7.6,2025-06-08,2025,6
2025-06-09,17.8,10.4,3.6,2025-06-09,2025,6
2025-06-10,18.0,11.1,5.7,2025-06-10,2025,6
2025-06-11,20.1,12.2,1.0,2025-06-11,2025,6
2025-06-12,22.9,9.0,0.0,2025-06-12,2025,6
2025-06-13,24.9,11.7,0.0,2025-06-13,2025,6
2025-06-14,30.0,14.8,0.0,2025-06-14,2025,6
2025-06-15,32.8,17.4,1.7,2025-06-15,2025,6
2025-06-16,22.2,16.2,0.2,2025-06-16,2025,6
2025-06-17,25.9,13.4,0.0,2025-06-17,2025,6
2025-06-18,27.2,16.3,0.0,2025-06-18,2025,6
2025-06-19,22.2,15.2,0.0,2025-06-19,2025,6
2025-06-20,23.5,11.1,0.0,2025-06-20,2025,6
2025-06-21,28.6,12.5,0.0,2025-06-21,2025,6
2025-06-22,34.0,17.3,0.0,2025-06-22,2025,6
2025-06-23,26.5,16.2,2.9,2025-06-23,2025,6
2025-06-24,22.5,14.1,1.7,2025-06-24,2025,6
2025-06-25,24.3,17.4,4.5,2025-06-25,2025,6
2025-06-26,30.5,14.4,3.3,2025-06-26,2025,6
2025-06-27,22.0,16.3,1.5,2025-06-27,2025,6
2025-06-28,28.0,14.2,0.0,2025-06-28,2025,6
2025-06-29,28.3,18.5,1.0,2025-06-29,2025,6
2025-06-30,26.6,13.5,0.0,2025-06-30,2025,6
2025-07-01,32.8,14.6,0.0,2025-07-01,2025,7
2025-07-02,37.6,19.8,0.0,2025-07-02,2025,7
2025-07-03,29.8,18.4,0.2,2025-07-03,2025,7
2025-07-04,24.9,13.4,0.0,2025-07-04,2025,7
2025-07-05,28.6,14.9,0.0,2025-07-05,2025,7
2025-07-06,29.4,18.0,0.0,2025-07-06,2025,7
2025-07-07,24.6,16.4,6.8,2025-07-07,2025,7
2025-07-08,21.5,14.4,0.5,2025-07-08,2025,7
2025-07-09,21.4,14.7,2.3,2025-07-09,2025,7
2025-07-10,22.1,15.1,4.3,2025-07-10,2025,7
2025-07-11,21.9,13.2,8.4,2025-07-11,2025,7
2025-07-12,17.5,14.4,21.3,2025-07-12,2025,7
2025-07-13,21.5,14.9,11.0,2025-07-13,2025,7
2025-07-14,24.1,15.1,8.1,2025-07-14,2025,7
2025-07-15,22.0,15.8,3.1,2025-07-15,2025,7
2025-07-16,20.5,13.4,5.6,2025-07-16,2025,7
2025-07-17,19.1,13.8,15.3,2025-07-17,2025,7
2025-07-18,22.9,16.2,0.7,2025-07-18,2025,7
2025-07-19,26.0,15.8,0.0,2025-07-19,2025,7
2025-07-20,28.9,17.5,0.0,2025-07-20,2025,7
2025-07-21,22.2,16.0,44.8,2025-07-21,2025,7
2025-07-22,21.5,14.4,9.0,2025-07-22,2025,7
2025-07-23,19.7,15.6,25.2,2025-07-23,2025,7
2025-07-24,22.4,16.2,1.4,2025-07-24,2025,7
2025-07-25,23.5,17.9,7.7,2025-07-25,2025,7
2025-07-26,20.8,17.2,0.7,2025-07-26,2025,7
2025-07-27,23.8,15.2,0.7,2025-07-27,2025,7
2025-07-28,22.3,15.5,4.4,2025-07-28,2025,7
2025-07-29,20.2,14.1,1.1,2025-07-29,2025,7
2025-07-30,21.4,12.9,0.1,2025-07-30,2025,7
2025-07-31,19.4,14.1,3.1,2025-07-31,2025,7
2025-08-01,20.8,14.5,5.5,2025-08-01,2025,8
2025-08-02,21.6,13.9,3.1,2025-08-02,2025,8
2025-08-03,18.9,13.8,1.0,2025-08-03,2025,8
2025-08-04,22.2,14.6,8.5,2025-08-04,2025,8
2025-08-05,19.2,14.8,7.9,2025-08-05,2025,8
2025-08-06,20.4,12.0,0.7,2025-08-06,2025,8
2025-08-07,24.1,12.6,0.0,2025-08-07,2025,8
2025-08-08,26.8,15.4,0.0,2025-08-08,2025,8
2025-08-09,28.5,14.9,0.0,2025-08-09,2025,8
2025-08-10,23.5,16.2,0.0,2025-08-10,2025,8
2025-08-11,25.1,12.1,0.0,2025-08-11,2025,8
2025-08-12,28.8,14.1,0.0,2025-08-12,2025,8
2025-08-13,31.5,16.7,0.0,2025-08-13,2025,8
2025-08-14,32.8,17.8,0.0,2025-08-14,2025,8
2025-08-15,33.0,20.2,0.5,2025-08-15,2025,8
2025-08-16,24.7,17.1,0.0,2025-08-16,2025,8
2025-08-17,23.4,12.2,0.2,2025-08-17,2025,8
2025-08-18,24.0,11.6,0.0,2025-08-18,2025,8
2025-08-19,26.6,13.9,0.0,2025-08-19,2025,8
2025-08-20,24.0,14.8,0.0,2025-08-20,2025,8
2025-08-21,23.5,11.4,0.0,2025-08-21,2025,8
2025-08-22,19.6,11.1,0.1,2025-08-22,2025,8
2025-08-23,17.5,11.9,1.1,2025-08-23,2025,8
2025-08-24,18.2,8.4,0.0,2025-08-24,2025,8
2025-08-25,18.6,9.9,0.1,2025-08-25,2025,8
2025-08-26,21.0,8.9,0.0,2025-08-26,2025,8
2025-08-27,27.9,13.3,0.0,2025-08-27,2025,8
2025-08-28,21.6,17.5,9.2,2025-08-28,2025,8
2025-08-29,20.5,16.3,2.3,2025-08-29,2025,8
2025-08-30,22.4,14.8,0.2,2025-08-30,2025,8
2025-08-31,24.6,12.6,0.0,2025-08-31,2025,8
