priority_rank,plz,area_name,urban_heat_risk_index,risk_category,district_type,temperature_change,population_2022,population_density_per_sqkm,pollution_index,no2_avg,pm10_avg,traffic_supply_index,heat_exposure_index,vulnerable_population_score
73,40403,Schmargendorf,26.88,Low Risk,Suburban (Low Density),4.98,22327,6219,0.34,21.06,18.7,0.0,30.95,10513.05
74,20202,Köpenick,26.66,Low Risk,Suburban (Low Density),5.0,67140,6456,0.34,21.06,18.7,0.0,32.3,10969.75
75,90906,Alt-Hohenschönhausen,26.54,Low Risk,Suburban (Low Density),4.87,48842,5235,0.34,21.06,18.7,0.0,25.5,8660.89
76,70704,Mariendorf,25.71,Low Risk,Suburban (Low Density),4.88,49993,5330,0.34,21.06,18.7,0.0,26.02,8836.61
77,01005,Hellersdorf,25.68,Low Risk,Mixed Urban (Medium Density),5.41,83175,10269,0.34,21.06,18.7,0.0,55.6,18883.21
78,10105,Wedding,25.67,Low Risk,Mixed Urban (Medium Density),5.22,78099,8461,0.34,21.06,18.7,0.0,44.16,14998.09
79,80803,Buckow,25.53,Low Risk,Suburban (Low Density),4.95,37718,5940,0.34,21.06,18.7,0.0,29.39,9980.69
80,60603,Lankwitz,25.14,Low Risk,Suburban (Low Density),4.96,42291,6050,0.34,21.06,18.7,0.0,30.0,10189.9
81,30307,Pankow,24.11,Low Risk,Mixed Urban (Medium Density),5.54,64557,11406,0.34,21.06,18.7,0.0,63.15,21449.13
82,30301,Prenzlauer Berg,23.76,Low Risk,Mixed Urban (Medium Density),5.87,159369,14488,0.34,21.06,18.7,0.0,85.04,28880.83
83,20201,Friedrichshain,23.74,Low Risk,Mixed Urban (Medium Density),5.7,126291,12913,0.34,21.06,18.7,0.0,73.6,24996.03
84,30302,Weißensee,23.01,Low Risk,Suburban (Low Density),5.05,54380,6858,0.34,21.06,18.7,0.0,34.61,11753.82
85,70701,Schöneberg,22.9,Low Risk,Mixed Urban (Medium Density),5.48,115670,10912,0.34,21.06,18.7,0.0,59.84,20322.66
86,60601,Steglitz,22.81,Low Risk,Mixed Urban (Medium Density),5.44,71578,10542,0.34,21.06,18.7,0.0,57.39,19490.66
87,80801,Neukölln,22.6,Low Risk,Mixed Urban (Medium Density),5.7,150733,12883,0.34,21.06,18.7,0.0,73.39,24923.8
88,10103,Hansaviertel,22.33,Low Risk,Mixed Urban (Medium Density),5.45,5629,10621,0.34,21.06,18.7,0.0,57.91,19667.46
89,40407,Halensee,22.22,Low Risk,Mixed Urban (Medium Density),5.55,14595,11492,0.34,21.06,18.7,0.0,63.74,21647.06
90,40401,Charlottenburg,22.17,Low Risk,Mixed Urban (Medium Density),5.52,119191,11244,0.34,21.06,18.7,0.0,62.06,21077.75
91,10106,Gesundbrunnen,22.08,Low Risk,Mixed Urban (Medium Density),5.83,86701,14144,0.34,21.06,18.7,0.0,82.49,28016.82
92,11101,Friedrichsfelde,21.67,Low Risk,Mixed Urban (Medium Density),5.38,55137,9935,0.34,21.06,18.7,0.0,53.43,18147.46
93,11111,Fennpfuhl,21.18,Low Risk,Mixed Urban (Medium Density),5.95,32389,15278,0.34,21.06,18.7,0.0,90.97,30897.84
94,11109,Neu-Hohenschönhausen,21.08,Low Risk,Mixed Urban (Medium Density),5.46,55279,10713,0.34,21.06,18.7,0.0,58.52,19873.93
95,70702,Friedenau,20.52,Low Risk,Mixed Urban (Medium Density),6.08,27090,16418,0.34,21.06,18.7,0.0,99.78,33889.08
96,40402,Wilmersdorf,19.35,Low Risk,Mixed Urban (Medium Density),5.73,94261,13165,0.34,21.06,18.7,0.0,75.39,25605.39
97,80805,Gropiusstadt,18.73,Low Risk,Mixed Urban (Medium Density),5.75,35584,13377,0.34,21.06,18.7,0.0,76.91,26121.62
