date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2020-06-27,,,23.0,6.0,32.0,87.0,0.6,1.9,0.3,
2020-06-28,,,15.0,4.0,21.0,59.0,0.5,1.7,0.2,
2020-06-29,,,30.0,15.0,53.0,52.0,,,0.2,
2020-06-30,,,29.0,17.0,55.0,60.0,0.7,2.3,0.3,
2020-07-01,14.0,7.0,25.0,17.0,51.0,40.0,0.7,2.3,0.2,
2020-07-02,18.0,9.0,28.0,19.0,56.0,44.0,0.7,2.4,0.3,
2020-07-03,19.0,10.0,30.0,17.0,57.0,54.0,0.8,2.5,0.3,
2020-07-04,18.0,9.0,17.0,6.0,26.0,67.0,0.5,1.7,0.2,
2020-07-05,12.0,6.0,11.0,5.0,18.0,44.0,0.5,1.5,0.2,
2020-07-06,16.0,7.0,25.0,19.0,54.0,43.0,0.7,2.0,0.2,
2020-07-07,15.0,7.0,26.0,20.0,56.0,47.0,0.6,1.9,0.3,
2020-07-08,14.0,8.0,32.0,22.0,66.0,42.0,0.8,2.6,0.3,
2020-07-09,18.0,11.0,29.0,22.0,62.0,26.0,0.8,2.8,0.3,
2020-07-10,15.0,8.0,25.0,22.0,59.0,30.0,0.7,2.7,0.3,
2020-07-11,10.0,6.0,18.0,9.0,32.0,48.0,0.6,1.4,0.2,
2020-07-12,9.0,5.0,10.0,3.0,14.0,54.0,0.3,1.0,0.2,
2020-07-13,23.0,8.0,26.0,14.0,48.0,50.0,0.6,1.9,0.2,
2020-07-14,38.0,10.0,33.0,14.0,55.0,61.0,0.8,2.6,0.3,
2020-07-15,17.0,12.0,22.0,5.0,30.0,57.0,0.5,1.3,0.2,
2020-07-16,13.0,8.0,19.0,8.0,31.0,41.0,0.4,1.3,0.2,
2020-07-17,19.0,12.0,31.0,17.0,57.0,29.0,0.9,2.9,0.3,
2020-07-18,26.0,17.0,25.0,7.0,35.0,52.0,1.0,3.1,0.3,
2020-07-19,28.0,18.0,22.0,4.0,28.0,71.0,0.9,2.9,0.3,
2020-07-20,20.0,13.0,21.0,7.0,32.0,55.0,0.7,1.6,0.2,
2020-07-21,12.0,6.0,18.0,9.0,32.0,50.0,0.5,1.5,0.2,
2020-07-22,13.0,6.0,22.0,12.0,40.0,52.0,0.5,1.5,0.2,
2020-07-23,15.0,7.0,29.0,12.0,48.0,47.0,0.7,2.3,0.2,
2020-07-24,25.0,8.0,30.0,10.0,46.0,65.0,0.7,2.1,0.3,
2020-07-25,17.0,10.0,22.0,5.0,30.0,57.0,0.6,2.0,0.2,
2020-07-26,20.0,13.0,21.0,6.0,30.0,46.0,0.7,2.2,0.3,
2020-07-27,20.0,11.0,30.0,15.0,53.0,39.0,0.8,3.4,0.3,
2020-07-28,22.0,9.0,27.0,12.0,46.0,55.0,0.5,1.9,0.2,
2020-07-29,21.0,7.0,25.0,12.0,44.0,56.0,0.5,1.5,0.2,
2020-07-30,21.0,8.0,24.0,15.0,46.0,54.0,0.5,1.4,0.2,
2020-07-31,19.0,8.0,21.0,8.0,32.0,64.0,0.4,1.3,0.2,
2020-08-01,22.0,8.0,20.0,5.0,29.0,63.0,0.6,1.8,0.2,
2020-08-02,19.0,11.0,20.0,5.0,28.0,54.0,0.6,1.8,0.2,
2020-08-03,16.0,9.0,12.0,3.0,17.0,46.0,0.3,0.8,0.2,
2020-08-04,15.0,6.0,17.0,3.0,21.0,50.0,0.4,1.1,0.2,
2020-08-05,27.0,9.0,32.0,14.0,53.0,55.0,0.8,2.5,0.3,
2020-08-06,24.0,9.0,31.0,10.0,46.0,69.0,0.7,2.4,0.3,
2020-08-07,36.0,16.0,37.0,7.0,48.0,72.0,1.0,3.5,0.3,
2020-08-08,48.0,25.0,38.0,4.0,44.0,86.0,1.1,3.8,0.4,
2020-08-09,40.0,23.0,22.0,3.0,26.0,95.0,0.7,2.3,0.3,
2020-08-10,48.0,17.0,27.0,7.0,39.0,79.0,0.6,1.7,0.3,
2020-08-11,44.0,14.0,16.0,4.0,22.0,82.0,0.5,1.1,0.2,
2020-08-12,38.0,9.0,22.0,7.0,32.0,75.0,,,0.2,
2020-08-13,43.0,13.0,41.0,13.0,61.0,78.0,3.4,2.6,0.3,
2020-08-14,28.0,13.0,37.0,9.0,51.0,76.0,0.8,2.6,0.3,
2020-08-15,30.0,16.0,26.0,3.0,31.0,93.0,0.8,2.3,0.3,
2020-08-16,24.0,13.0,18.0,3.0,23.0,86.0,0.6,1.7,0.3,
2020-08-17,33.0,13.0,32.0,9.0,45.0,80.0,4.4,2.2,0.3,
2020-08-18,18.0,11.0,24.0,5.0,32.0,75.0,1.7,1.7,0.2,
2020-08-19,18.0,10.0,24.0,7.0,35.0,65.0,0.9,1.9,0.2,
2020-08-20,29.0,12.0,42.0,13.0,61.0,51.0,1.1,3.9,0.3,
2020-08-21,31.0,9.0,37.0,10.0,51.0,65.0,0.9,3.7,0.3,
2020-08-22,21.0,12.0,24.0,5.0,31.0,51.0,0.7,2.7,0.3,
2020-08-23,13.0,7.0,17.0,5.0,25.0,61.0,0.5,1.5,0.2,
2020-08-24,15.0,8.0,23.0,13.0,43.0,49.0,0.6,1.7,0.2,
2020-08-25,17.0,9.0,27.0,14.0,48.0,49.0,0.6,2.0,0.3,
2020-08-26,12.0,6.0,21.0,11.0,38.0,43.0,0.5,1.4,0.2,
2020-08-27,13.0,7.0,27.0,14.0,48.0,45.0,0.7,1.9,0.3,
2020-08-28,33.0,12.0,35.0,15.0,59.0,32.0,0.8,2.7,0.3,
2020-08-29,17.0,10.0,28.0,9.0,43.0,40.0,0.8,2.7,0.3,
2020-08-30,19.0,13.0,21.0,4.0,28.0,43.0,0.8,2.5,0.3,
2020-08-31,13.0,8.0,18.0,5.0,26.0,48.0,0.5,1.3,0.2,
2021-05-01,24.0,19.0,13.0,3.0,18.0,69.0,0.6,0.9,0.3,
2021-05-02,25.0,21.0,17.0,4.0,22.0,53.0,0.8,1.2,0.3,
2021-05-03,16.0,10.0,35.0,19.0,65.0,52.0,,,0.3,
2021-05-04,24.0,10.0,20.0,6.0,29.0,66.0,0.4,0.9,0.2,
2021-05-05,13.0,6.0,16.0,7.0,26.0,69.0,0.4,0.7,0.2,
2021-05-06,15.0,10.0,26.0,14.0,47.0,57.0,0.6,1.3,0.3,
2021-05-07,12.0,9.0,35.0,17.0,61.0,42.0,0.7,1.5,0.3,
2021-05-08,15.0,10.0,25.0,7.0,36.0,63.0,0.7,1.2,0.3,
2021-05-09,15.0,8.0,16.0,3.0,21.0,79.0,0.6,1.4,0.3,
2021-05-10,26.0,8.0,28.0,9.0,41.0,79.0,0.8,1.9,0.3,
2021-05-11,27.0,12.0,24.0,7.0,35.0,86.0,0.6,1.4,0.2,
2021-05-12,19.0,14.0,20.0,9.0,34.0,44.0,0.4,1.1,0.2,
2021-05-13,10.0,8.0,11.0,3.0,15.0,46.0,0.4,0.8,0.2,
2021-05-14,8.0,6.0,23.0,11.0,39.0,52.0,0.5,1.1,0.2,
2021-05-15,13.0,9.0,21.0,5.0,29.0,58.0,0.5,1.3,0.3,
2021-05-16,10.0,6.0,15.0,4.0,22.0,56.0,0.5,1.2,0.2,
2021-05-17,12.0,7.0,31.0,15.0,54.0,45.0,0.6,1.7,0.3,
2021-05-18,15.0,10.0,34.0,19.0,63.0,39.0,0.7,1.8,0.3,
2021-05-19,14.0,9.0,28.0,10.0,43.0,60.0,0.6,1.5,0.3,
2021-05-20,14.0,8.0,31.0,15.0,54.0,59.0,0.6,1.7,0.3,
2021-05-21,21.0,8.0,23.0,8.0,36.0,62.0,0.6,1.6,0.2,
2021-05-22,13.0,6.0,16.0,6.0,26.0,58.0,0.5,1.3,0.2,
2021-05-23,10.0,7.0,17.0,5.0,25.0,57.0,0.5,1.2,0.3,
2021-05-24,14.0,7.0,17.0,5.0,25.0,63.0,0.6,1.3,0.3,
2021-05-25,11.0,5.0,23.0,12.0,41.0,58.0,0.5,1.5,0.2,
2021-05-26,10.0,5.0,17.0,8.0,30.0,58.0,0.4,1.0,0.2,
2021-05-27,11.0,7.0,23.0,12.0,41.0,54.0,0.6,1.5,0.3,
2021-05-28,12.0,8.0,25.0,11.0,42.0,44.0,0.5,1.3,0.3,
2021-05-29,17.0,11.0,12.0,3.0,17.0,59.0,0.4,0.8,0.2,
2021-05-30,13.0,8.0,5.0,0.0,6.0,78.0,0.2,0.6,0.2,
2021-05-31,19.0,10.0,23.0,8.0,35.0,62.0,0.6,2.0,0.3,
2021-06-01,22.0,11.0,25.0,8.0,37.0,58.0,0.8,1.8,0.3,
2021-06-02,20.0,10.0,26.0,10.0,42.0,65.0,0.6,1.5,0.3,
2021-06-03,29.0,13.0,34.0,12.0,52.0,80.0,0.7,1.9,0.3,
2021-06-04,31.0,18.0,38.0,15.0,61.0,65.0,0.9,2.3,0.3,
2021-06-05,20.0,12.0,16.0,3.0,21.0,96.0,0.4,1.0,0.2,
2021-06-06,24.0,15.0,12.0,2.0,14.0,98.0,0.4,1.0,0.2,
2021-06-07,21.0,10.0,15.0,2.0,17.0,89.0,0.3,0.8,0.2,
2021-06-08,24.0,13.0,16.0,3.0,20.0,88.0,0.6,1.5,0.2,
2021-06-09,18.0,8.0,27.0,7.0,38.0,64.0,0.6,1.9,0.3,
2021-06-10,23.0,11.0,23.0,5.0,30.0,80.0,0.5,1.8,0.2,
2021-06-11,21.0,11.0,27.0,6.0,36.0,82.0,0.6,1.7,0.3,
2021-06-12,21.0,11.0,20.0,5.0,28.0,55.0,0.6,2.0,0.2,
2021-06-13,15.0,9.0,11.0,2.0,15.0,60.0,0.3,0.9,0.2,
2021-06-14,22.0,11.0,31.0,16.0,55.0,52.0,0.7,2.4,0.3,
2021-06-15,21.0,11.0,17.0,3.0,21.0,68.0,0.4,1.1,0.2,
2021-06-16,17.0,7.0,24.0,10.0,40.0,70.0,0.5,1.4,0.2,
2021-06-17,31.0,15.0,40.0,11.0,57.0,83.0,0.7,2.2,0.3,
2021-06-18,32.0,14.0,35.0,9.0,50.0,88.0,0.7,2.2,0.3,
2021-06-19,33.0,18.0,23.0,3.0,26.0,111.0,0.5,1.7,0.3,
2021-06-20,32.0,17.0,16.0,2.0,19.0,95.0,0.4,1.5,0.2,
2021-06-21,25.0,13.0,25.0,8.0,37.0,82.0,0.5,1.7,0.3,
2021-06-22,19.0,12.0,16.0,5.0,24.0,54.0,0.3,1.0,0.2,
2021-06-23,22.0,12.0,26.0,8.0,39.0,51.0,0.4,1.4,0.2,
2021-06-24,18.0,13.0,18.0,3.0,24.0,51.0,0.3,0.9,0.2,
2021-06-25,19.0,12.0,27.0,10.0,42.0,62.0,0.5,1.6,0.2,
2021-06-26,16.0,10.0,12.0,2.0,16.0,79.0,0.3,0.9,0.2,
2021-06-27,13.0,8.0,10.0,1.0,12.0,74.0,0.3,1.0,0.2,
2021-06-28,23.0,10.0,38.0,15.0,61.0,68.0,0.7,2.5,0.3,
2021-06-29,30.0,16.0,37.0,10.0,52.0,72.0,0.6,2.1,0.3,
2021-06-30,21.0,16.0,39.0,24.0,76.0,37.0,0.7,1.9,0.3,
2021-07-01,13.0,9.0,27.0,23.0,63.0,28.0,0.7,1.8,0.3,
2021-07-02,23.0,12.0,24.0,13.0,43.0,46.0,0.5,1.5,0.3,
2021-07-03,22.0,13.0,16.0,6.0,24.0,66.0,0.4,1.4,0.2,
2021-07-04,20.0,12.0,13.0,2.0,16.0,79.0,0.3,1.1,0.2,
2021-07-05,21.0,13.0,28.0,12.0,46.0,49.0,0.6,2.1,0.3,
2021-07-06,14.0,6.0,27.0,15.0,51.0,43.0,0.7,2.4,0.3,
2021-07-07,12.0,8.0,31.0,16.0,55.0,38.0,0.7,2.1,0.3,
2021-07-08,19.0,11.0,26.0,11.0,42.0,40.0,0.5,1.6,0.2,
2021-07-09,15.0,11.0,13.0,3.0,18.0,46.0,0.3,0.8,0.2,
2021-07-10,18.0,10.0,20.0,6.0,29.0,55.0,0.6,1.7,0.3,
2021-07-11,22.0,12.0,15.0,3.0,19.0,69.0,0.4,1.4,0.2,
2021-07-12,23.0,15.0,34.0,12.0,51.0,57.0,0.7,2.4,0.3,
2021-07-13,25.0,13.0,31.0,11.0,48.0,68.0,0.7,2.2,0.3,
2021-07-14,24.0,14.0,27.0,15.0,50.0,53.0,0.7,2.4,0.3,
2021-07-15,17.0,10.0,28.0,8.0,40.0,53.0,0.6,1.9,0.3,
2021-07-16,24.0,15.0,23.0,6.0,33.0,62.0,0.7,2.3,0.3,
2021-07-17,21.0,13.0,7.0,1.0,9.0,61.0,0.2,0.8,0.2,
2021-07-18,15.0,7.0,6.0,2.0,9.0,47.0,0.2,0.7,0.1,
2021-07-19,19.0,10.0,15.0,7.0,25.0,44.0,0.3,1.1,0.2,
2021-07-20,19.0,10.0,22.0,11.0,39.0,43.0,0.5,1.5,0.2,
2021-07-21,17.0,10.0,24.0,10.0,39.0,50.0,0.6,1.8,0.3,
2021-07-22,23.0,12.0,27.0,11.0,45.0,53.0,0.6,1.8,0.3,
2021-07-23,28.0,15.0,27.0,11.0,44.0,58.0,0.7,2.4,0.3,
2021-07-24,27.0,15.0,22.0,4.0,28.0,88.0,0.6,1.9,0.3,
2021-07-25,30.0,18.0,17.0,2.0,20.0,93.0,0.6,1.5,0.3,
2021-07-26,30.0,17.0,31.0,11.0,48.0,60.0,0.8,2.8,0.3,
2021-07-27,19.0,9.0,24.0,9.0,38.0,64.0,0.6,2.0,0.3,
2021-07-28,19.0,9.0,26.0,10.0,42.0,67.0,0.5,1.8,0.2,
2021-07-29,19.0,8.0,24.0,13.0,44.0,54.0,0.5,1.6,0.3,
2021-07-30,25.0,10.0,30.0,12.0,48.0,49.0,0.6,2.2,0.3,
2021-07-31,19.0,7.0,17.0,6.0,26.0,62.0,0.5,1.8,0.2,
2021-08-01,13.0,8.0,16.0,5.0,24.0,64.0,0.5,1.5,0.2,
2021-08-02,12.0,7.0,25.0,15.0,47.0,50.0,,,0.3,
2021-08-03,15.0,7.0,26.0,12.0,44.0,55.0,,,0.3,
2021-08-04,15.0,9.0,28.0,12.0,47.0,60.0,0.6,1.5,0.3,
2021-08-05,20.0,11.0,25.0,6.0,33.0,62.0,0.5,1.4,0.3,
2021-08-06,20.0,12.0,38.0,14.0,59.0,53.0,0.8,2.0,0.3,
2021-08-07,12.0,7.0,18.0,7.0,29.0,42.0,0.7,1.4,0.3,
2021-08-08,10.0,6.0,13.0,4.0,19.0,51.0,0.5,1.1,0.3,
2021-08-09,10.0,6.0,25.0,13.0,44.0,43.0,0.5,1.8,0.3,
2021-08-10,10.0,7.0,30.0,18.0,58.0,38.0,0.7,2.3,0.3,
2021-08-11,17.0,11.0,32.0,17.0,58.0,40.0,0.9,3.0,0.4,
2021-08-12,25.0,14.0,48.0,33.0,98.0,34.0,1.3,5.4,0.5,
2021-08-13,32.0,15.0,46.0,14.0,68.0,55.0,1.0,4.2,0.4,
2021-08-14,23.0,10.0,21.0,6.0,30.0,72.0,0.6,2.0,0.3,
2021-08-15,22.0,11.0,19.0,3.0,24.0,65.0,0.6,2.0,0.3,
2021-08-16,21.0,9.0,30.0,14.0,52.0,53.0,0.7,2.2,0.3,
2021-08-17,18.0,11.0,23.0,14.0,44.0,50.0,0.6,1.6,0.3,
2021-08-18,16.0,9.0,26.0,14.0,48.0,48.0,0.7,1.9,0.3,
2021-08-19,19.0,12.0,26.0,14.0,48.0,47.0,0.7,1.8,0.3,
2021-08-20,17.0,11.0,30.0,15.0,53.0,44.0,0.8,2.6,0.3,
2021-08-21,16.0,10.0,18.0,3.0,22.0,58.0,0.6,1.6,0.3,
2021-08-22,16.0,10.0,11.0,1.0,12.0,57.0,0.3,1.1,0.2,
2021-08-23,14.0,8.0,11.0,2.0,14.0,56.0,0.3,0.9,0.2,
2021-08-24,11.0,6.0,8.0,2.0,11.0,64.0,0.3,0.7,0.2,
2021-08-25,16.0,8.0,30.0,17.0,57.0,45.0,0.8,2.2,0.3,
2021-08-26,13.0,8.0,17.0,7.0,28.0,37.0,0.5,1.0,0.3,
2021-08-27,8.0,5.0,12.0,5.0,20.0,31.0,0.5,0.9,0.2,
2021-08-28,12.0,9.0,14.0,3.0,19.0,42.0,0.5,1.1,0.3,
2021-08-29,9.0,6.0,14.0,6.0,22.0,32.0,0.6,1.4,0.3,
2021-08-30,14.0,10.0,14.0,3.0,19.0,52.0,0.5,0.9,0.2,
2021-08-31,18.0,11.0,15.0,3.0,19.0,52.0,0.5,1.0,0.3,
2022-05-01,18.0,10.0,10.0,2.0,10.0,76.0,0.3,0.7,0.2,
2022-05-02,25.0,13.0,24.0,5.0,32.0,69.0,0.5,1.4,0.2,
2022-05-03,22.0,10.0,20.0,4.0,25.0,66.0,0.4,1.3,0.2,
2022-05-04,30.0,14.0,32.0,12.0,51.0,59.0,0.7,2.5,0.3,
2022-05-05,24.0,14.0,18.0,5.0,25.0,67.0,0.4,1.2,0.2,
2022-05-06,28.0,14.0,34.0,13.0,53.0,51.0,0.7,2.6,0.3,
2022-05-07,24.0,13.0,25.0,5.0,32.0,58.0,0.8,2.5,0.3,
2022-05-08,15.0,9.0,8.0,2.0,10.0,78.0,0.3,0.7,0.2,
2022-05-09,22.0,11.0,20.0,7.0,30.0,71.0,0.4,1.4,0.2,
2022-05-10,30.0,12.0,29.0,10.0,45.0,76.0,0.6,2.4,0.3,
2022-05-11,33.0,14.0,25.0,7.0,36.0,80.0,0.5,2.0,0.2,
2022-05-12,17.0,9.0,27.0,13.0,47.0,60.0,0.5,2.1,0.3,
2022-05-13,26.0,12.0,33.0,13.0,53.0,52.0,0.6,2.6,0.3,
2022-05-14,23.0,12.0,18.0,5.0,25.0,73.0,0.4,1.2,0.2,
2022-05-15,13.0,7.0,10.0,2.0,12.0,78.0,0.3,0.8,0.2,
2022-05-16,23.0,8.0,22.0,9.0,35.0,77.0,0.4,1.3,0.2,
2022-05-17,23.0,12.0,26.0,7.0,37.0,65.0,0.5,1.6,0.2,
2022-05-18,30.0,10.0,25.0,10.0,40.0,76.0,0.6,1.9,0.3,
2022-05-19,30.0,12.0,30.0,8.0,41.0,78.0,0.6,2.5,0.3,
2022-05-20,21.0,12.0,26.0,10.0,41.0,71.0,0.5,1.8,0.2,
2022-05-21,15.0,8.0,13.0,5.0,20.0,74.0,0.3,1.0,0.2,
2022-05-22,11.0,7.0,10.0,3.0,14.0,67.0,0.3,0.9,0.2,
2022-05-23,17.0,8.0,22.0,10.0,38.0,67.0,0.4,1.5,0.2,
2022-05-24,16.0,9.0,33.0,14.0,54.0,58.0,0.6,2.3,0.3,
2022-05-25,17.0,9.0,32.0,11.0,49.0,54.0,0.6,2.6,0.3,
2022-05-26,15.0,8.0,16.0,5.0,23.0,66.0,0.4,1.2,0.2,
2022-05-27,16.0,9.0,15.0,8.0,27.0,64.0,0.3,1.0,0.2,
2022-05-28,11.0,6.0,12.0,6.0,22.0,65.0,0.3,0.8,0.2,
2022-05-29,10.0,7.0,15.0,5.0,23.0,59.0,0.4,1.3,0.2,
2022-05-30,13.0,8.0,23.0,14.0,44.0,52.0,0.4,1.4,0.2,
2022-05-31,17.0,8.0,25.0,12.0,43.0,61.0,0.5,1.9,0.2,
2022-06-01,15.0,9.0,28.0,10.0,42.0,67.0,0.5,1.7,0.2,
2022-06-02,15.0,9.0,30.0,13.0,49.0,59.0,0.5,1.9,0.3,
2022-06-03,18.0,10.0,28.0,17.0,53.0,70.0,0.7,3.1,0.3,
2022-06-04,14.0,9.0,7.0,2.0,8.0,85.0,0.2,0.5,0.2,
2022-06-05,19.0,13.0,14.0,2.0,17.0,89.0,0.4,1.4,0.2,
2022-06-06,19.0,13.0,19.0,4.0,25.0,69.0,0.5,2.1,0.2,
2022-06-07,17.0,8.0,28.0,10.0,44.0,56.0,0.5,2.8,0.2,
