date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2022-06-08,18.0,8.0,32.0,11.0,49.0,53.0,0.7,3.3,0.3,
2022-06-09,17.0,10.0,30.0,14.0,51.0,48.0,0.6,2.4,0.3,
2022-06-10,17.0,9.0,20.0,7.0,30.0,66.0,0.4,1.6,0.2,
2022-06-11,21.0,11.0,28.0,6.0,37.0,57.0,0.7,3.1,0.3,
2022-06-12,19.0,12.0,14.0,3.0,19.0,77.0,0.3,1.4,0.2,
2022-06-13,14.0,7.0,13.0,6.0,22.0,69.0,0.3,1.0,0.2,
2022-06-14,15.0,8.0,20.0,9.0,33.0,60.0,0.3,1.2,0.2,
2022-06-15,23.0,10.0,29.0,12.0,48.0,71.0,0.6,2.7,0.3,
2022-06-16,16.0,8.0,9.0,2.0,11.0,75.0,0.3,0.7,0.2,
2022-06-17,17.0,8.0,21.0,7.0,32.0,69.0,0.4,1.8,0.2,
2022-06-18,28.0,11.0,18.0,3.0,23.0,101.0,0.4,2.1,0.2,
2022-06-19,34.0,14.0,10.0,2.0,11.0,98.0,0.2,1.0,0.2,
2022-06-20,13.0,9.0,19.0,8.0,30.0,54.0,0.3,1.2,0.2,
2022-06-21,13.0,7.0,20.0,9.0,34.0,54.0,0.4,1.5,0.2,
2022-06-22,17.0,8.0,24.0,9.0,37.0,71.0,0.4,1.9,0.2,
2022-06-23,17.0,8.0,17.0,4.0,22.0,85.0,0.3,1.3,0.2,
2022-06-24,25.0,11.0,29.0,7.0,40.0,93.0,0.5,2.1,0.3,
2022-06-25,27.0,19.0,20.0,3.0,24.0,85.0,0.5,2.1,0.3,
2022-06-26,23.0,16.0,18.0,3.0,22.0,79.0,0.5,2.7,0.3,
2022-06-27,26.0,13.0,27.0,7.0,39.0,87.0,0.4,2.1,0.2,
2022-06-28,12.0,7.0,16.0,5.0,23.0,69.0,0.3,1.1,0.2,
2022-06-29,14.0,7.0,18.0,6.0,26.0,71.0,0.3,1.2,0.2,
2022-06-30,20.0,12.0,20.0,6.0,28.0,79.0,0.4,1.6,0.2,
2022-07-01,21.0,14.0,22.0,11.0,38.0,53.0,0.4,1.9,0.2,
2022-07-02,17.0,10.0,19.0,5.0,27.0,67.0,0.4,1.8,0.2,
2022-07-03,16.0,9.0,17.0,3.0,21.0,86.0,0.4,2.0,0.2,
2022-07-04,16.0,8.0,22.0,8.0,34.0,71.0,0.4,1.7,0.2,
2022-07-05,17.0,7.0,24.0,6.0,33.0,63.0,0.5,2.3,0.2,
2022-07-06,13.0,6.0,19.0,9.0,32.0,56.0,0.4,1.4,0.2,
2022-07-07,12.0,8.0,22.0,13.0,42.0,39.0,0.4,1.9,0.2,
2022-07-08,15.0,8.0,19.0,10.0,34.0,42.0,0.4,1.6,0.2,
2022-07-09,12.0,7.0,14.0,6.0,22.0,49.0,0.3,1.1,0.2,
2022-07-10,12.0,7.0,8.0,2.0,12.0,53.0,0.2,0.7,0.2,
2022-07-11,13.0,7.0,17.0,8.0,29.0,50.0,0.3,1.2,0.2,
2022-07-12,12.0,6.0,18.0,5.0,25.0,54.0,0.3,1.4,0.2,
2022-07-13,17.0,7.0,30.0,10.0,44.0,67.0,0.5,2.5,0.2,
2022-07-14,13.0,6.0,12.0,5.0,20.0,62.0,0.3,1.0,0.2,
2022-07-15,14.0,6.0,19.0,11.0,36.0,51.0,0.4,1.6,0.2,
