avg_lst,max_lst,centroid_lon,centroid_lat
221.66,223,13.468523933211769,52.429496634277754
219.6,222,13.479550808777473,52.42963895299178
222.79,238,13.490577776112962,52.42978024378681
188.02,238,13.501604834554017,52.42992050664334
190.0,239,13.512631983436378,52.43005974154199
196.4,239,13.523659222095755,52.43019794846351
190.47,239,13.534686549867827,52.43033512738881
196.14,238,13.54571396608823,52.43047127829892
200.16,238,13.556741470092575,52.43060640117505
207.2,238,13.567769061216442,52.43074049599851
221.59,223,13.578796738795363,52.43087356275079
221.3,223,13.589824502164854,52.43100560141347
221.44,222,13.60085235066039,52.43113661196831
221.68,222,13.611880283617413,52.43126659439725
211.34,222,13.622908300371336,52.431395548682275
203.38,223,13.63393640025754,52.43152347480559
199.85,223,13.644964582611372,52.431650372749516
225.58,255,13.65599284676815,52.43177624249649
255.0,255,13.66702119206316,52.43190108402914
255.0,255,13.67804961783166,52.43202489733022
219.02,255,13.689078123408871,52.432147682382585
182.89,188,13.700106708129987,52.43226943916932
204.78,255,13.711135371330176,52.43239016767353
255.0,255,13.72216411234457,52.43250986787858
255.0,255,13.733192930508274,52.432628539767904
196.32,223,13.120897123974437,52.43226918728181
221.16,223,13.13192270836698,52.4324439234313
220.41,222,13.1429484055017,52.43261763206273
219.87,223,13.153974214715191,52.43279031315211
220.58,223,13.165000135344007,52.43296196667559
226.56,239,13.176026166724654,52.43313259260946
179.52,239,13.187052308193602,52.43330219093015
170.64,238,13.198078559087277,52.43347076161421
186.44,238,13.20910491874206,52.43363830463837
183.89,238,13.220131386494296,52.43380481997948
179.47,238,13.231157961680285,52.433970307614544
185.32,238,13.24218464363629,52.434134767520675
185.7,238,13.253211431698533,52.43429819967517
216.37,238,13.26423832520319,52.434460604055445
220.25,223,13.275265323486403,52.43462198063906
223.34,237,13.286292425884271,52.434782329403724
201.44,237,13.29731963173286,52.43494165032726
193.75,238,13.308346940368185,52.435099943387684
195.88,238,13.319374351126232,52.43525720856311
194.19,238,13.330401863342946,52.435413445831806
196.5,238,13.341429476354229,52.43556865517219
192.31,238,13.352457189495949,52.4357228365628
171.3,239,13.363485002103937,52.43587598998234
195.78,246,13.374512913513982,52.43602811540966
179.82,246,13.385540923061837,52.43617921282371
182.93,237,13.396569030083223,52.436329282203644
177.85,238,13.407597233913814,52.43647832352869
204.31,237,13.418625533889255,52.43662633677827
206.12,223,13.429653929345152,52.43677332193193
219.36,222,13.440682419617076,52.43691927896935
221.14,223,13.451711004040558,52.43706420787035
221.49,223,13.4627396819511,52.43720810861492
220.98,223,13.47376845268416,52.437350981183165
220.21,223,13.48479731557517,52.43749282555532
217.83,221,13.495826269959517,52.43763364171182
220.13,223,13.506855315172565,52.43777342963316
219.51,223,13.517884450549634,52.43791218930005
220.24,223,13.528913675426011,52.438049920693295
221.76,223,13.539942989136954,52.43818662379386
221.45,222,13.55097239101768,52.43832229858286
221.85,222,13.562001880403383,52.438456945041544
221.68,223,13.57303145662921,52.43859056315129
222.11,223,13.584061119030286,52.43872315289361
222.37,223,13.595090866941703,52.43885471425021
221.87,223,13.606120699698511,52.43898524720289
220.43,223,13.617150616635739,52.43911475173361
221.47,223,13.628180617088374,52.43924322782446
221.27,223,13.639210700391379,52.43937067545769
194.53,255,13.650240865879685,52.439497094615675
253.19,255,13.661271112888185,52.43962248528094
255.0,255,13.672301440751749,52.43974684743615
255.0,255,13.68333184880521,52.43987018106412
190.28,255,13.694362336383374,52.43999248614779
186.47,255,13.70539290282102,52.44011376267026
243.07,255,13.716423547452887,52.44023401061476
255.0,255,13.727454269613693,52.44035322996466
254.9,255,13.738485068638125,52.44047142070349
206.37,223,13.126079722513465,52.4401383364119
200.96,223,13.13710730364215,52.44031260746938
192.2,223,13.148134997249727,52.44048585071019
221.7,223,13.15916280267237,52.44065806611036
222.18,223,13.170190719246207,52.440829253646086
220.74,238,13.181218746307321,52.440999413293724
220.03,236,13.192246883191759,52.44116854502976
220.69,237,13.203275129235518,52.441336648830834
220.13,237,13.214303483774561,52.441503724673694
220.71,238,13.22533194614481,52.44166977253525
221.6,223,13.236360515682138,52.44183479239258
221.96,223,13.247389191722387,52.441998784222854
221.56,223,13.258417973601354,52.44216174800342
221.97,223,13.269446860654792,52.44232368371176
221.18,223,13.28047585221842,52.44248459132548
221.3,236,13.291504947627917,52.44264447082235
217.66,236,13.30253414621892,52.44280332218028
217.5,237,13.313563447327024,52.4429611453773
204.21,237,13.324592850287795,52.443117940391616
217.93,238,13.335622354436751,52.44327370720153
222.62,238,13.346651959109373,52.44342844578553
221.59,237,13.357681663641108,52.44358215612222
204.64,239,13.368711467367362,52.443734838190366
227.48,246,13.379741369623504,52.443886491968854
225.2,246,13.390771369744861,52.44403711743672
213.59,238,13.401801467066734,52.444186714573135
209.99,238,13.412831660924379,52.44433528335743
222.64,238,13.423861950653015,52.44448282376909
218.51,222,13.434892335587824,52.444629335787674
218.35,222,13.445922815063955,52.44477481939296
219.65,222,13.456953388416524,52.44491927456483
220.32,222,13.467984054980604,52.4450627012833
219.31,223,13.479014814091236,52.44520509952856
221.08,223,13.490045665083427,52.44534646928091
220.05,222,13.501076607292148,52.445486810520826
221.23,222,13.512107640052335,52.445626123228884
221.15,223,13.523138762698888,52.44576440738582
221.3,223,13.534169974566678,52.445901662972545
222.11,223,13.545201274990537,52.446037889970064
222.02,223,13.556232663305265,52.44617308835953
221.98,223,13.567264138845628,52.44630725812227
222.14,223,13.578295700946363,52.44644039923973
222.17,223,13.589327348942165,52.44657251169348
213.71,223,13.600359082167708,52.44670359546528
219.33,222,13.611390899957625,52.44683365053701
210.95,223,13.622422801646518,52.44696267689065
206.93,222,13.633454786568963,52.44709067450839
211.46,222,13.644486854059494,52.44721764337252
236.32,255,13.655519003452625,52.447343583465475
255.0,255,13.66655123408283,52.447468494769865
255.0,255,13.677583545284557,52.4475923772684
225.51,255,13.688615936392221,52.44771523094395
197.35,201,13.69964840674021,52.44783705577953
209.38,255,13.710680955662877,52.44795785175829
255.0,255,13.72171358249455,52.448077618863515
255.0,255,13.732746286569519,52.448196357078665
238.27,255,13.743779067222057,52.44831406638732
219.83,223,13.120234673398429,52.44783243186225
221.64,222,13.131264139171533,52.44800726564355
221.69,222,13.142293717824105,52.448181071333444
205.34,223,13.153323408691932,52.448353848907914
195.57,222,13.16435321111076,52.44852559834308
221.22,222,13.175383124416296,52.4486963196152
220.72,222,13.186413147944196,52.44886601270069
220.25,223,13.19744328103008,52.44903467757608
221.37,223,13.208473523009532,52.44920231421805
221.02,223,13.21950387321808,52.44936892260345
221.36,223,13.230534330991226,52.44953450270921
220.76,223,13.241564895664421,52.44969905451249
218.87,223,13.252595566573081,52.44986257799052
220.78,223,13.263626343052579,52.450025073120685
221.74,223,13.274657224438243,52.450186539880534
221.7,223,13.285688210065375,52.45034697824774
221.05,223,13.296719299269224,52.45050638820012
203.46,222,13.307750491385008,52.450664769715644
199.01,220,13.318781785747897,52.4508221227724
219.25,222,13.32981318169303,52.45097844734865
220.9,222,13.34084467855551,52.45113374342279
220.89,222,13.35187627567039,52.45128801097332
220.95,222,13.362907972372694,52.45144124997892
183.31,222,13.373939767997406,52.45159346041841
220.1,222,13.384971661879472,52.45174464227075
217.52,223,13.396003653353802,52.45189479551501
184.64,223,13.407035741755266,52.45204392013045
203.44,222,13.418067926418699,52.45219201609645
220.34,222,13.429100206678898,52.45233908339253
220.73,222,13.440132581870628,52.45248512199835
220.7,222,13.451165051328612,52.45263013189372
221.11,222,13.462197614387545,52.45277411305858
222.14,223,13.473230270382075,52.45291706547304
221.62,223,13.484263018646825,52.453058989117295
220.54,222,13.495295858516377,52.453199883971756
220.36,223,13.506328789325282,52.45333975001693
220.26,222,13.517361810408055,52.45347858723345
221.61,223,13.528394921099174,52.45361639560214
220.95,223,13.539428120733087,52.453753175103934
221.55,223,13.550461408644205,52.453888925719916
221.3,223,13.561494784166909,52.45402364743133
221.83,223,13.57252824663554,52.45415734021952
221.06,223,13.58356179538442,52.45429000406598
215.81,223,13.594595429747818,52.454421638952404
193.31,223,13.605629149059986,52.45455224486056
204.84,223,13.61666295265514,52.45468182177239
218.2,223,13.627696839867461,52.45481036966997
220.93,222,13.6387308100311,52.45493788853553
221.0,255,13.649764862480179,52.455064378351416
252.09,255,13.660798996548783,52.45518983910014
255.0,255,13.671833211570968,52.455314270764354
255.0,255,13.682867506880765,52.455437673326834
201.74,255,13.693901881812167,52.45556004677053
233.56,255,13.715970867875617,52.45580170623394
205.51,222,13.114387559736716,52.455526209544445
220.29,222,13.125418910804854,52.4557016063474
221.41,222,13.136450375153478,52.455875974784206
221.69,222,13.147481952118001,52.45604931483075
221.49,222,13.158513641033784,52.45622162646306
209.25,222,13.169545441236146,52.45639290965734
214.28,223,13.18057735206037,52.45656316438987
220.41,223,13.19160937284169,52.45673239063713
221.07,222,13.2026415029153,52.45690058837573
220.92,222,13.213673741616356,52.4570677575824
212.64,223,13.224706088279966,52.45723389823403
204.04,223,13.235738542241208,52.457399010307654
215.5,223,13.246771102835107,52.457563093780415
218.56,223,13.257803769396656,52.45772614862966
213.69,223,13.2688365412608,52.45788817483282
205.3,223,13.279869417762452,52.45804917236749
198.4,223,13.290902398236481,52.45820914121142
194.2,222,13.30193548201772,52.45836808134246
207.6,221,13.312968668440956,52.45852599273867
219.16,221,13.324001956840942,52.458682875378166
219.74,222,13.335035346552392,52.4588387292393
220.77,222,13.346068836909978,52.458993554300484
221.04,222,13.357102427248341,52.45914735054032
197.68,221,13.368136116902077,52.45930011793753
214.65,222,13.379169905205744,52.45945185647099
221.47,223,13.390203791493871,52.45960256611972
220.6,223,13.40123777510094,52.459752246862855
207.91,222,13.4122718553614,52.45990089867971
205.14,223,13.423306031609664,52.46004852154973
220.61,222,13.434340303180107,52.46019511545248
219.6,223,13.445374669407068,52.46034068036769
210.72,222,13.456409129624852,52.46048521627523
210.58,222,13.467443683167726,52.4606287231551
221.58,223,13.478478329369922,52.46077120098746
221.72,223,13.489513067565635,52.460912649752586
220.75,223,13.50054789708903,52.461053069430925
220.55,223,13.511582817274233,52.46119246000305
215.56,222,13.522617827455337,52.46133082144967
202.1,223,13.533652926966399,52.46146815375166
205.03,223,13.544688115141446,52.46160445689001
219.38,223,13.555723391314467,52.46173973084588
219.56,222,13.56675875481942,52.461873975600525
212.69,223,13.577794204990226,52.462007191135406
208.35,223,13.588829741160781,52.462139377432074
212.2,222,13.599865362664941,52.46227053447225
203.5,223,13.610901068836533,52.46240066223778
221.46,223,13.621936859009349,52.46252976071067
221.54,223,13.632972732517153,52.462657829873066
221.34,222,13.644008688693672,52.462784869707235
235.61,255,13.65504472687261,52.46291088019561
255.0,255,13.666080846387628,52.46303586132074
255.0,255,13.677117046572366,52.46315981306534
229.88,255,13.68815332676043,52.46328273541227
212.89,255,13.710226124480805,52.46352549184521
205.42,223,13.11957161725624,52.46339562934303
221.74,223,13.13060496795214,52.46357056082468
221.35,223,13.141638431665024,52.463744463641184
222.0,223,13.152672007729878,52.46391733776849
222.01,223,13.163705695481635,52.464089183182686
196.96,223,13.174739494255196,52.46425999986003
195.06,222,13.185773403385411,52.464429787776865
199.06,223,13.196807422207097,52.46459854690971
199.81,223,13.20784155005502,52.46476627723525
203.87,223,13.21887578626391,52.46493297873027
213.91,223,13.229910130168454,52.465098651371704
219.37,222,13.2409445811033,52.46526329513666
214.11,223,13.251979138403051,52.46542691000234
201.68,222,13.263013801402277,52.46558949594614
213.27,222,13.274048569435498,52.465751052945556
200.84,222,13.285083441837205,52.46591158097823
218.16,223,13.29611841794184,52.46607108002197
219.04,221,13.307153497083807,52.466229550054734
217.8,220,13.318188678597478,52.46638699105456
218.53,221,13.329223961817181,52.46654340299969
220.07,221,13.340259346077204,52.46669878586848
219.7,221,13.351294830711794,52.466853139639454
198.54,221,13.36233041505517,52.46700646429123
213.0,222,13.373366098441505,52.46715875980262
219.57,222,13.384401880204935,52.46731002615253
220.38,223,13.395437759679561,52.467460263320056
212.85,223,13.406473736199445,52.467609471284405
202.71,222,13.417509809098613,52.467757650024936
219.99,222,13.428545977711051,52.46790479952114
206.26,222,13.439582241370719,52.46805091975268
196.38,222,13.450618599411527,52.4681960106993
206.16,222,13.461655051167357,52.468340072340965
195.99,222,13.472691595972057,52.468483104657714
189.18,222,13.483728233159432,52.468625107629784
187.8,223,13.494764962063261,52.46876608123749
212.85,222,13.50580178201728,52.468906025461365
202.88,223,13.516838692355195,52.46904494028202
195.83,222,13.527875692410674,52.46918282568023
210.94,223,13.53891278151736,52.46931968163693
199.26,223,13.549949959008849,52.46945550813319
206.86,223,13.560987224218712,52.46959030515019
209.92,223,13.572024576480485,52.46972407266929
214.69,223,13.58306201512767,52.46985681067198
221.55,223,13.594099539493737,52.46998851913988
220.16,223,13.605137148912121,52.470119198054775
220.17,222,13.616174842716228,52.47024884739859
220.64,222,13.627212620239428,52.47037746715335
220.75,223,13.638250480815065,52.47050505730129
221.61,255,13.649288423776445,52.47063161782473
251.13,255,13.660326448456848,52.47075714870616
255.0,255,13.671364554189518,52.470881649928224
197.63,222,13.124757494933506,52.47126482921691
221.56,222,13.135792846046577,52.47143929510141
222.0,222,13.14682830991277,52.4716127320217
220.96,223,13.157863885866648,52.47178513995375
222.12,223,13.168899573242719,52.471956518873746
200.01,223,13.179935371375453,52.47212686875797
221.19,222,13.190971279599284,52.472296189582856
221.47,223,13.202007297248594,52.472464481324955
221.8,223,13.213043423657728,52.47263174396104
220.79,223,13.224079658160996,52.47279797746791
220.35,222,13.235116000092653,52.472963181822614
221.07,223,13.246152448786923,52.47312735700225
220.55,223,13.25718900357799,52.473290502984135
215.9,222,13.26822566379999,52.4734526197457
220.72,222,13.279262428787028,52.47361370726449
216.48,223,13.290299297873164,52.47377376551824
191.3,223,13.301336270392419,52.47393279448478
218.53,221,13.312373345678774,52.47409079414212
217.07,221,13.323410523066173,52.4742477644684
202.29,223,13.334447801888519,52.4744037054419
199.89,223,13.345485181479678,52.47455861704103
183.85,221,13.356522661173479,52.47471249924436
210.33,221,13.367560240303705,52.47486535203059
219.69,222,13.378597918204113,52.47501717537858
218.0,221,13.389635694208414,52.47516796926731
198.14,222,13.400673567650284,52.47531773367593
206.0,221,13.411711537863365,52.47546646858369
209.63,222,13.422749604181254,52.475614173970015
200.97,222,13.433787765937522,52.47576084981446
208.06,223,13.444826022465696,52.47590649609674
220.1,223,13.455864373099269,52.476051112796696
218.7,222,13.466902817171698,52.476194699894286
198.46,222,13.477941354016409,52.47633725736967
220.26,223,13.488979982966782,52.4764787852031
221.1,223,13.500018703356174,52.476619283374994
210.77,221,13.5110575145179,52.4767587518659
219.92,223,13.52209641578524,52.47689719065652
209.02,223,13.533135406491446,52.477034599727695
213.63,222,13.54417448596973,52.4771709790604
220.15,223,13.555213653553272,52.477306328635756
222.18,223,13.566252908575217,52.47744064843503
221.55,223,13.57729225036868,52.47757393843963
219.92,222,13.588331678266744,52.47770619863112
220.9,222,13.599371191602451,52.47783742899117
219.95,222,13.610410789708817,52.47796762950162
220.79,223,13.64353008598155,52.47835205175587
215.11,222,13.129945193975365,52.47913380897344
210.05,223,13.140982546295332,52.47930780898479
222.01,223,13.152020011104204,52.47948077973278
221.89,223,13.163057587736114,52.47965272119345
203.01,223,13.174095275525149,52.47982363334302
219.13,222,13.185133073805352,52.47999351615783
221.38,223,13.196170981910727,52.48016236961439
220.14,222,13.207208999175238,52.480330193689305
221.96,223,13.218247124932798,52.48049698835937
221.74,222,13.229285358517293,52.4806627536015
220.73,223,13.240323699262557,52.48082748939275
220.08,223,13.25136214650239,52.48099119571032
219.84,223,13.26240069957054,52.48115387253157
219.17,223,13.27343935780073,52.481315519833956
217.87,221,13.284478120526634,52.48147613759512
214.2,222,13.295516987081887,52.481635725792856
202.9,221,13.306555956800088,52.48179428440504
220.23,222,13.31759502901479,52.48195181340973
200.1,222,13.328634203059519,52.48210831278515
209.44,221,13.339673478267745,52.48226378250961
217.72,220,13.350712853972915,52.482418222561606
206.99,221,13.361752329508429,52.48257163291976
178.44,221,13.372791904207656,52.48272401356283
192.93,222,13.383831577403916,52.48287536446973
192.35,222,13.394871348430506,52.48302568561949
204.51,222,13.405911216620673,52.483174976991336
